ACTIVE PASS LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1967,999.99,7.04,7.39,8.51,10.85,14.17,15.39,17.46,13.73,10.61,9.12,7.67
1968,6.90,6.51,7.65,8.64,11.08,13.33,16.57,14.06,13.25,10.31,8.97,6.98
1969,5.15,5.52,6.93,8.34,11.39,14.65,16.53,13.49,12.94,10.53,8.75,7.60
1970,6.70,7.28,8.00,9.09,11.22,14.65,15.10,15.95,13.06,10.66,8.62,7.44
1971,6.29,6.40,6.67,8.40,10.98,11.69,16.02,15.21,13.13,10.32,8.46,6.47
1972,5.57,5.93,6.84,7.92,10.96,12.71,14.44,16.24,12.52,9.99,8.36,6.82
1973,6.31,6.02,7.39,8.93,10.39,12.34,13.95,14.41,12.86,10.26,7.94,7.38
1974,6.22,6.79,7.09,8.57,10.11,13.22,14.95,15.72,14.08,11.06,8.76,7.90
1975,6.28,5.93,6.93,8.39,10.46,12.36,15.59,13.83,14.38,10.20,8.31,7.02
1976,6.69,6.66,6.73,8.63,10.35,12.59,14.57,13.43,13.57,11.32,9.04,8.03
1977,6.78,7.57,7.70,9.34,10.17,13.15,14.21,16.17,13.65,11.08,8.28,6.65
1978,6.44,7.24,8.12,9.42,11.72,14.11,16.26,15.05,13.00,11.87,8.36,7.05
1979,6.17,6.79,7.95,9.27,11.43,14.08,15.41,15.38,13.76,11.60,9.01,8.30
1980,6.70,6.41,7.71,9.90,11.41,13.07,15.49,15.25,12.96,11.60,9.40,7.93
1981,7.50,7.65,8.74,9.75,11.41,12.79,16.26,15.57,13.27,10.98,9.77,8.13
1982,7.02,7.44,8.04,9.21,11.41,14.87,14.82,15.35,14.15,11.26,9.01,8.08
1983,8.10,8.11,9.03,10.25,12.40,13.69,15.05,16.77,14.01,11.66,9.68,7.15
1984,7.52,8.04,8.83,9.81,11.03,13.73,15.68,15.77,13.76,10.91,9.24,7.22
1985,6.59,7.16,8.21,9.31,11.45,13.83,17.41,16.18,13.70,11.21,7.67,6.52
1986,7.84,7.29,8.25,9.32,10.78,13.32,14.70,17.14,14.15,11.95,9.87,8.60
1987,8.14,8.16,8.84,10.33,12.23,14.86,15.12,17.19,15.00,12.99,10.64,8.93
1988,8.10,8.25,8.89,10.23,11.17,14.00,16.48,16.84,15.44,11.92,10.25,8.83
1989,7.99,6.62,8.02,999.99,13.29,14.48,15.76,17.53,16.37,11.88,999.99,999.99
1990,8.33,7.79,8.83,11.08,999.99,13.88,17.79,17.05,16.28,999.99,999.99,999.99
1991,6.47,999.99,999.99,999.99,11.17,12.80,16.23,18.33,16.16,999.99,999.99,999.99
1992,8.50,999.99,999.99,11.40,14.24,16.23,18.32,17.73,15.65,13.28,999.99,9.68
1993,6.83,7.94,8.70,10.26,12.70,15.27,16.47,17.35,16.54,12.25,9.22,8.06
1994,8.02,7.31,8.30,10.14,11.90,13.65,16.40,16.80,14.52,11.91,8.85,7.65
1995,7.24,7.24,8.16,9.90,13.67,15.33,16.62,15.78,14.73,11.09,10.14,8.41
1996,7.74,7.66,8.66,9.92,11.87,13.33,16.83,16.00,13.37,11.08,9.07,7.93
1997,6.95,7.09,7.83,9.55,12.03,12.53,15.67,16.81,14.11,11.15,10.00,8.68
1998,7.84,8.18,8.80,10.30,11.71,13.86,16.00,18.37,14.82,11.39,9.96,8.13
1999,7.57,7.79,8.01,9.36,11.49,13.17,15.76,16.09,15.42,11.21,9.14,8.20
2000,7.27,7.29,8.28,9.99,11.00,14.07,15.55,15.85,14.06,11.60,8.97,7.71
2001,7.64,7.28,8.11,9.18,11.83,12.81,16.61,14.63,14.34,11.44,9.68,7.87
2002,7.64,7.57,7.30,9.50,11.40,14.84,17.17,18.08,15.27,12.64,10.38,9.08
2003,8.57,8.35,8.95,10.17,12.67,15.45,18.71,15.99,15.83,12.35,9.28,8.92
2004,7.63,8.08,9.31,11.89,12.85,15.08,17.70,16.72,15.81,13.22,11.07,9.02
2005,8.72,9.09,10.20,11.01,14.49,15.52,18.33,18.48,14.95,12.78,9.87,9.77
2006,9.90,8.22,8.82,11.13,13.71,15.70,17.98,18.24,15.61,12.45,10.32,9.32
2007,8.56,8.49,9.20,10.13,13.52,15.52,17.02,18.25,15.52,12.24,9.96,9.01
2008,8.60,8.32,9.11,9.88,13.11,15.53,17.19,18.24,15.45,12.10,11.11,8.28
2009,7.66,7.55,7.54,9.57,11.76,14.90,17.62,17.62,15.47,12.59,10.61,7.64
2010,9.11,9.23,9.50,11.04,13.06,14.74,18.22,18.53,15.67,13.32,9.75,9.30
2011,8.52,7.51,8.72,8.96,12.23,14.14,16.23,17.81,15.75,13.09,10.30,8.36
