CAPE MUDGE LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1936,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,29.6,29.7
1937,29.8,29.8,30.0,29.6,29.1,27.0,26.7,27.6,27.9,28.6,27.4,27.5
1938,27.9,28.2,28.6,28.8,28.8,28.4,28.1,28.4,28.1,28.5,29.1,29.2
1939,27.7,28.7,29.4,29.1,29.0,26.9,26.2,28.3,28.3,28.9,27.6,25.8
1940,26.4,26.9,27.3,29.2,29.1,999.9,999.9,999.9,999.9,28.7,28.8,28.7
1941,28.9,27.8,28.9,29.6,29.4,29.1,28.9,29.1,29.1,29.2,28.6,26.5
1942,28.4,27.9,28.7,29.5,29.6,28.2,27.5,28.6,29.3,29.1,29.7,999.9
1943,28.7,28.1,30.0,29.8,29.7,28.6,28.1,27.1,28.5,28.8,29.3,29.3
1944,28.8,29.6,30.0,30.0,30.0,29.4,28.9,28.5,28.9,28.7,28.5,29.0
1945,28.9,29.0,29.3,29.2,29.7,28.9,28.8,28.8,29.2,29.7,29.6,28.9
1946,28.9,29.2,28.7,29.3,29.1,26.9,25.8,27.7,28.3,29.3,29.7,29.4
1947,29.3,29.0,29.6,29.7,29.1,27.5,26.5,28.2,29.0,29.1,29.0,28.7
1948,28.6,28.7,29.4,29.8,29.5,26.8,27.3,27.3,27.4,28.4,28.5,28.2
1949,29.5,29.7,29.4,29.9,28.9,28.1,27.9,26.7,28.3,29.2,29.4,28.1
1950,29.2,28.3,28.4,29.2,29.3,28.0,26.3,26.6,28.1,28.3,28.2,27.2
1951,27.4,27.7,28.7,29.4,29.3,28.3,28.0,28.2,29.0,29.4,29.1,28.9
1952,28.7,28.8,29.2,29.8,29.5,28.6,28.1,28.0,28.8,28.9,29.0,29.0
1953,28.2,28.7,29.3,29.6,29.4,28.2,27.2,28.2,28.5,28.7,27.6,27.4
1954,28.0,28.2,28.8,29.3,29.5,27.3,26.5,26.5,26.6,27.9,27.7,27.2
1955,28.2,29.0,29.6,29.5,29.9,28.9,25.8,26.8,27.9,28.9,28.8,28.8
1956,28.7,29.1,29.0,29.4,29.3,26.9,27.8,28.0,28.8,28.5,28.4,28.9
1957,28.9,29.5,29.4,29.3,28.9,25.9,27.0,27.0,27.4,29.0,29.4,29.2
1958,28.5,28.4,28.7,29.0,29.0,27.1,27.6,28.3,28.7,28.9,29.2,28.3
1959,28.0,28.7,28.8,29.2,29.5,27.0,26.9,28.1,28.2,28.9,29.3,28.8
1960,28.6,28.6,29.3,28.9,28.7,28.2,28.3,27.4,27.8,28.9,28.4,28.3
1961,28.2,27.3,27.0,28.4,28.4,27.2,26.6,27.8,28.4,29.3,29.5,29.3
1962,28.9,29.4,29.8,30.0,29.6,28.3,27.7,26.9,28.6,28.4,28.0,27.6
1963,28.7,28.7,29.1,29.2,29.1,28.4,26.6,27.6,27.7,28.2,28.2,28.3
1964,27.9,28.5,29.1,29.6,29.8,27.1,24.5,25.6,27.8,28.0,28.6,29.2
1965,29.1,29.1,29.6,29.8,29.7,29.3,27.9,27.8,29.2,28.9,27.8,28.3
1966,28.5,29.2,28.8,29.2,29.3,27.8,26.2,27.8,27.8,28.9,28.9,27.5
1967,28.0,28.3,28.4,28.9,29.1,26.2,25.5,25.7,26.8,27.5,28.2,28.1
1968,27.8,28.3,27.9,28.8,28.9,28.2,26.9,27.4,28.2,28.6,27.6,27.5
1969,28.3,28.6,29.1,28.9,28.7,26.2,26.1,27.2,28.6,28.1,28.4,28.5
1970,29.1,29.5,29.4,29.4,29.3,28.8,28.6,28.0,28.6,29.7,29.5,29.2
1971,29.2,29.1,28.8,29.0,29.1,26.2,26.6,25.5,26.5,27.8,28.4,28.3
1972,29.0,29.4,29.0,28.8,29.0,25.8,25.1,26.7,28.1,29.0,29.3,29.2
1973,28.6,28.9,28.9,29.2,29.3,28.5,28.0,28.2,28.1,28.8,28.7,28.3
1974,28.3,28.3,28.3,28.2,27.4,27.5,26.0,27.1,27.0,28.7,29.1,29.0
1975,28.8,28.9,29.1,29.4,29.4,28.9,26.7,27.6,28.3,28.6,27.1,27.5
1976,28.2,28.4,28.7,28.8,28.9,27.1,26.1,25.2,25.4,28.0,28.6,28.7
1977,28.9,29.2,28.9,29.3,29.0,28.8,26.9,27.2,27.8,28.4,28.2,28.5
1978,28.4,28.7,28.8,28.7,28.8,28.3,27.7,26.8,27.4,28.0,28.5,28.8
1979,29.2,29.1,29.3,29.6,29.8,28.5,27.0,999.9,999.9,28.5,28.4,28.7
1980,28.4,28.5,28.7,29.2,29.0,28.4,27.4,28.5,28.6,29.0,29.0,28.8
1981,28.3,28.2,28.5,28.8,28.7,27.1,28.5,28.6,28.5,28.7,28.3,28.1
1982,28.4,28.4,28.7,28.8,29.3,28.6,25.8,26.2,27.3,28.8,28.5,28.8
1983,28.7,28.8,28.5,28.7,28.7,28.2,26.9,26.9,28.6,29.5,28.5,28.7
1984,28.8,29.0,29.3,29.0,28.8,29.5,28.4,27.8,28.5,28.3,28.7,27.4
1985,28.9,29.4,29.4,29.8,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
