CAPE MUDGE LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE TEMPERATURES (C),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1936,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,9.3,7.8
1937,5.9,6.5,7.6,8.2,9.7,13.7,15.5,12.9,13.0,10.5,8.1,6.7
1938,6.4,5.8,6.8,9.9,12.6,13.8,14.2,14.8,13.7,11.0,7.6,6.4
1939,6.7,6.1,7.8,10.5,12.4,13.9,15.5,14.6,13.2,10.5,9.1,7.9
1940,6.8,7.2,9.0,11.1,12.0,999.9,999.9,999.9,999.9,11.2,8.6,8.0
1941,7.8,8.4,10.0,10.7,12.3,12.9,13.7,14.0,13.0,11.6,10.0,8.3
1942,7.9,7.9,8.7,10.0,11.4,13.3,15.1,13.7,11.9,10.7,9.2,7.2
1943,6.4,6.8,8.3,9.5,11.0,13.4,14.6,14.3,13.4,11.5,9.2,7.7
1944,7.4,7.7,8.3,9.4,11.6,13.3,14.6,14.7,13.3,11.6,9.6,8.1
1945,7.9,7.8,7.9,9.3,12.4,13.4,14.3,14.4,12.3,10.7,7.2,6.7
1946,6.5,6.4,7.3,9.1,13.1,14.4,14.8,14.3,13.2,9.7,8.0,6.8
1947,5.9,6.5,8.0,9.6,12.1,13.0,14.6,13.4,12.6,10.5,8.6,7.7
1948,7.0,6.8,7.7,9.0,11.1,13.8,14.5,13.9,12.1,10.3,8.5,6.7
1949,5.4,5.7,7.4,9.1,10.7,12.2,13.3,13.5,12.2,10.2,9.0,6.5
1950,4.9,6.5,7.3,9.3,10.6,13.7,14.3,13.8,11.6,9.3,8.1,7.3
1951,6.6,6.5,7.2,10.1,11.6,13.6,15.4,13.3,11.9,10.4,8.7,7.0
1952,5.9,6.9,6.8,8.9,10.5,12.5,13.9,13.0,11.8,10.6,8.4,7.6
1953,6.8,7.2,7.5,8.7,10.9,12.8,14.2,13.6,12.1,10.6,9.4,8.4
1954,7.2,8.3,7.7,8.7,10.3,12.4,13.6,13.9,13.3,10.4,9.2,7.7
1955,7.4,7.3,7.6,8.5,10.2,11.8,14.5,13.7,12.0,9.8,7.3,6.5
1956,6.4,5.7,6.6,8.8,11.2,12.4,13.1,13.1,11.7,9.9,8.0,7.0
1957,5.7,6.1,7.4,8.9,11.6,13.8,13.6,14.2,12.9,10.2,8.4,7.7
1958,7.6,7.8,8.1,9.5,12.2,15.5,15.0,14.4,13.0,10.4,8.1,7.8
1959,7.1,7.2,7.8,9.5,11.6,14.2,15.2,13.9,13.3,10.8,8.2,7.4
1960,6.5,7.4,7.9,9.7,11.8,13.1,13.3,14.4,12.8,10.9,8.1,7.7
1961,7.1,7.6,7.9,9.5,12.3,14.1,14.4,14.6,12.9,10.7,8.2,6.8
1962,6.7,7.5,7.7,8.6,11.0,12.5,13.6,14.1,12.0,11.3,9.4,8.3
1963,7.7,8.0,8.4,9.1,10.7,12.7,14.7,14.7,14.2,11.6,8.8,8.2
1964,7.7,7.9,8.2,9.4,10.1,13.7,14.3,14.4,12.3,10.9,8.3,7.1
1965,6.6,6.9,7.8,8.5,10.0,11.7,14.5,13.8,11.0,10.2,8.9,7.8
1966,7.2,7.7,7.8,9.5,10.4,12.4,14.4,12.6,12.7,10.2,8.8,8.0
1967,7.5,7.6,7.8,9.0,10.8,14.7,15.3,15.5,13.5,10.9,8.8,7.8
1968,7.1,7.4,8.0,9.0,10.8,12.6,13.9,14.3,12.2,10.2,8.9,7.5
1969,5.8,6.6,7.5,8.6,11.0,14.4,13.6,13.6,11.5,10.6,9.1,8.3
1970,7.4,7.8,8.5,9.2,10.8,12.9,13.2,14.3,12.3,10.2,8.5,7.3
1971,6.7,7.1,7.2,8.5,10.7,13.2,14.8,16.2,13.2,10.4,8.4,7.0
1972,6.1,6.6,7.6,8.3,10.7,13.8,15.2,14.0,11.4,9.4,8.3,6.7
1973,6.5,6.6,7.5,8.8,10.8,11.7,13.1,12.6,12.2,10.0,7.7,7.3
1974,6.4,6.9,7.5,8.8,11.0,12.0,14.1,13.5,13.2,10.1,8.6,8.0
1975,7.0,6.6,7.7,8.9,10.2,12.3,14.9,13.0,12.2,10.7,8.4,7.2
1976,7.2,6.9,7.4,8.8,9.8,12.5,13.6,14.5,13.3,10.3,8.7,7.8
1977,7.4,7.9,8.2,9.5,11.3,13.4,14.9,14.7,12.6,10.4,8.3,7.7
1978,7.2,7.2,8.3,9.3,11.0,13.0,14.2,15.6,13.0,11.3,8.5,7.3
1979,7.0,7.5,7.7,8.3,9.8,11.8,13.7,999.9,999.9,10.9,8.4,7.7
1980,7.2,7.1,7.9,9.6,11.6,12.5,15.1,13.3,12.5,11.1,9.3,8.2
1981,7.9,7.8,8.1,8.9,10.9,13.5,13.6,13.9,13.4,10.9,9.6,7.9
1982,7.2,7.5,7.9,8.8,11.7,14.2,16.0,15.2,13.8,10.9,9.4,7.6
1983,7.7,7.4,9.0,10.2,12.5,14.3,16.7,15.6,12.7,11.3,9.5,8.3
1984,8.0,7.9,8.9,10.0,10.8,14.7,15.2,15.0,13.2,11.0,8.8,7.4
1985,7.7,8.1,7.8,9.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
