SISTERS ISLETS LIGHTSTATION: AVERAGE MONTHLY SEA SURFACE SALINITIES (PSU),,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1968,999.9,999.9,999.9,999.9,27.3,23.7,22.9,24.5,26.1,27.7,26.6,27.2
1969,27.9,28.6,28.8,28.3,26.2,21.7,23.6,25.8,26.3,26.6,27.2,28.3
1970,28.6,28.7,28.8,29.2,29.3,28.3,26.9,27.2,28.4,29.0,29.8,29.8
1971,29.8,28.9,29.2,29.1,28.4,22.6,23.6,23.3,25.8,27.2,28.4,28.8
1972,29.2,29.3,27.7,27.2,27.0,20.9,22.7,24.3,26.8,28.2,28.7,29.1
1973,28.3,28.5,28.6,28.9,28.0,25.6,24.6,26.9,27.9,28.5,28.7,28.5
1974,28.5,28.4,28.6,28.1,26.0,24.3,21.6,25.6,26.2,28.6,29.2,29.2
1975,29.0,29.5,29.6,29.6,29.5,26.9,23.0,25.3,27.5,28.4,27.6,27.1
1976,27.9,28.3,28.5,29.0,27.5,24.2,22.3,22.0,23.7,26.7,28.3,29.1
1977,29.1,29.5,29.2,29.9,27.9,25.7,25.5,26.0,27.6,28.9,29.4,28.8
1978,27.9,28.3,28.6,28.7,28.4,27.5,25.8,26.0,26.3,27.8,28.5,29.3
1979,29.5,29.7,29.4,29.5,28.8,25.3,24.5,26.4,26.5,28.0,28.4,28.6
1980,28.3,28.6,28.9,28.9,27.3,25.3,24.0,26.7,27.4,27.5,27.6,27.8
1981,26.3,27.7,27.9,28.3,27.3,22.9,25.6,26.2,27.4,27.8,27.9,27.4
1982,28.6,28.4,28.3,28.3,28.4,23.7,20.4,22.6,25.7,27.7,27.6,28.2
1983,28.5,28.3,27.6,27.7,27.7,24.8,22.8,24.8,26.6,28.1,27.6,27.3
1984,28.1,28.3,28.4,28.3,28.0,26.4,24.6,25.7,27.1,26.9,27.3,27.8
1985,28.3,29.4,29.6,29.6,28.9,25.8,26.4,28.0,28.4,28.6,28.6,29.0
1986,29.5,29.1,28.2,28.0,27.6,25.5,23.5,27.0,27.9,28.8,29.2,29.4
1987,28.9,28.9,28.5,27.7,27.5,25.9,26.1,27.5,28.0,28.7,29.6,29.6
1988,29.4,29.5,29.8,29.1,26.1,23.8,24.2,27.0,28.2,28.3,28.3,28.5
1989,28.9,29.1,29.3,29.5,26.9,25.5,26.2,26.5,27.9,28.9,28.8,28.1
1990,28.8,29.1,29.0,29.4,26.8,22.6,24.7,26.5,27.9,28.9,27.7,27.4
1991,28.7,27.1,28.1,28.7,27.3,24.7,24.8,26.3,26.3,28.3,29.6,29.4
1992,29.2,27.8,27.5,27.4,29.1,27.4,26.1,27.0,28.6,29.2,29.4,30.1
1993,29.5,29.8,30.3,29.0,26.3,24.4,26.2,27.2,28.1,28.7,29.2,29.2
1994,29.3,29.7,28.9,28.0,23.3,23.1,25.5,26.2,27.0,28.4,29.2,29.2
1995,28.3,28.1,27.8,28.0,24.4,27.4,26.4,24.5,27.7,28.1,25.8,25.7
1996,26.5,27.0,27.5,27.0,25.9,24.9,25.9,27.5,27.5,28.4,28.3,28.3
1997,28.3,27.1,28.3,27.7,23.9,20.4,21.0,23.7,25.2,26.3,25.5,26.9
1998,27.7,27.3,27.4,27.8,26.5,24.9,25.2,26.3,27.4,28.3,28.5,28.0
1999,28.0,28.0,28.0,28.1,27.0,22.5,20.9,21.5,999.9,999.9,28.1,27.3
2000,27.9,28.2,28.6,28.6,27.5,25.9,24.2,26.3,26.7,28.0,28.7,29.2
2001,29.4,29.5,29.7,29.8,29.3,25.7,26.1,26.0,27.4,28.6,28.7,28.4
2002,28.0,28.0,28.6,28.5,28.1,24.4,22.8,26.6,27.1,28.1,28.6,29.2
2003,28.9,28.2,28.2,28.9,27.4,25.9,26.2,27.4,28.6,28.7,28.5,29.3
2004,29.5,29.0,29.3,28.7,28.3,26.7,27.0,27.5,27.3,26.9,28.4,27.9
2005,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
