SISTERS ISLETS LIGHTSTATION: AVERAGE MONTLY SEA SURFACE TEMPERATURES ( C ),,,,,,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,
1968,999.9,999.9,999.9,999.9,12.4,15.1,17.8,17.1,14.4,10.7,8.8,7.1,,,,
1969,5.1,5.8,6.8,8.2,12.9,17.3,17.7,16.3,13.8,11.5,9.1,7.9,,,,
1970,7.0,7.2,7.7,8.8,11.4,15.4,16.5,16.9,14.0,11.0,8.9,7.6,,,,
1971,6.7,6.4,6.5,8.3,11.5,13.9,17.2,18.0,14.2,10.9,8.5,6.9,,,,
1972,6.0,6.0,6.8,7.8,11.7,15.3,16.1,18.0,13.6,10.3,8.4,7.0,,,,
1973,6.0,6.1,7.1,8.6,12.0,13.4,16.1,17.0,14.8,11.2,8.1,7.4,,,,
1974,6.1,6.5,7.0,8.7,11.2,14.1,16.2,16.6,16.2,11.5,8.9,7.9,,,,
1975,6.5,6.1,6.9,8.5,10.9,14.3,18.2,16.2,14.8,11.0,8.5,6.6,,,,
1976,6.7,6.7,6.7,8.5,11.5,13.7,16.1,16.4,15.1,11.7,9.2,8.0,,,,
1977,6.8,7.5,7.6,9.2,12.3,15.0,17.2,18.1,14.1,11.2,8.6,7.1,,,,
1978,6.1,6.8,7.9,9.2,11.6,15.9,18.6,18.0,14.1,12.1,8.7,7.6,,,,
1979,6.8,7.0,7.9,9.1,12.5,15.5,16.9,18.4,15.0,12.3,9.2,8.1,,,,
1980,6.4,6.4,7.5,9.2,12.4,15.2,17.0,17.1,14.2,12.2,9.5,7.7,,,,
1981,7.4,7.5,8.3,9.3,12.3,14.1,17.3,18.0,15.0,11.2,9.8,7.9,,,,
1982,6.8,6.8,7.2,8.7,11.3,17.6,17.6,16.8,15.6,11.5,8.9,8.1,,,,
1983,7.7,7.7,8.5,10.3,13.9,15.9,17.2,17.6,15.1,11.9,9.7,7.5,,,,
1984,7.4,7.8,8.5,9.5,11.2,14.9,17.2,17.9,14.5,11.3,8.9,7.3,,,,
1985,6.9,7.4,7.8,9.3,12.0,14.9,18.6,17.3,14.5,11.1,7.7,6.9,,,,
1986,7.8,7.2,7.8,9.2,11.3,15.0,17.1,18.1,15.9,12.2,9.3,8.1,,,,
1987,7.6,7.5,8.1,9.7,12.0,15.0,16.6,17.8,15.5,12.5,10.0,8.4,,,,
1988,7.8,7.7,8.1,9.8,12.2,15.2,17.1,17.2,15.1,12.1,9.6,8.1,,,,
1989,7.1,6.3,7.5,9.5,13.7,15.4,16.3,17.4,15.5,11.8,9.2,8.2,,,,
1990,7.6,7.1,7.7,10.3,13.3,15.7,18.5,19.2,16.7,11.8,9.4,7.4,,,,
1991,6.9,7.8,7.8,9.9,12.2,14.9,16.8,17.8,15.0,12.7,9.4,8.4,,,,
1992,7.8,7.9,9.2,10.7,13.7,16.9,18.0,17.4,14.2,11.8,9.7,8.5,,,,
1993,7.2,7.6,8.4,9.5,13.1,16.5,17.5,18.3,16.5,12.9,9.7,8.9,,,,
1994,8.3,8.0,8.3,10.5,14.6,15.8,18.5,18.8,16.1,12.3,9.4,8.1,,,,
1995,7.3,7.5,8.2,10.1,14.1,16.4,18.4,17.1,17.2,11.8,9.9,8.1,,,,
1996,7.2,7.2,8.1,9.6,12.5,15.2,16.1,17.3,14.7,11.5,8.9,7.3,,,,
1997,6.5,6.4,7.1,8.8,12.7,15.4,17.3,17.8,15.5,11.4,9.8,8.5,,,,
1998,7.7,7.7,8.3,10.1,13.6,16.3,18.1,18.8,15.7,11.6,10.0,8.2,,,,
1999,7.5,7.3,7.3,8.6,11.1,14.2,16.3,18.1,14.6,11.1,9.2,7.8,,,,
2000,7.1,7.1,7.8,9.7,10.9,14.2,17.7,17.1,15.2,11.7,9.3,8.1,,,,
2001,7.7,7.4,7.7,8.9,11.1,15.0,17.2,16.1,14.6,11.4,9.5,7.9,,,,
2002,7.2,6.8,7.0,8.7,11.5,14.9,17.6,16.7,14.8,11.9,9.6,8.5,,,,
2003,7.8,7.6,8.0,9.0,12.5,15.2,17.4,17.7,14.8,11.7,9.2,8.2,,,,
2004,7.4,7.1,8.1,10.5,14.2,16.5,17.8,18.0,15.1,12.1,9.7,8.2,,,,
2005,7.2,7.2,8.5,10.3,13.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
